,manufacturer_libele,model_libele
0,LEXUS,RX 450
1,CHEVROLET,EQUINOX
2,HONDA,FIT
3,FORD,ESCAPE
5,HYUNDAI,SANTA FE
6,TOYOTA,PRIUS
8,TOYOTA,CAMRY
9,LEXUS,RX 350
11,FORD,TRANSIT
12,OPEL,VECTRA
16,HYUNDAI,ELANTRA
25,MERCEDES-BENZ,E 220
29,TOYOTA,HIGHLANDER
30,MERCEDES-BENZ,VITO
31,PORSCHE,CAYENNE
32,BMW,X5
34,JEEP,GRAND CHEROKEE
36,TOYOTA,CHR LIMITED
41,HYUNDAI,H1
42,VOLKSWAGEN,JETTA
43,HYUNDAI,SONATA
46,TOYOTA,PRIUS C
48,TOYOTA,AQUA
49,FORD,ESCAPE HYBRID
50,HONDA,CIVIC
52,RENAULT,MEGANE 1.5CDI
54,AUDI,Q5
55,MERCEDES-BENZ,C 180
56,MERCEDES-BENZ,GLA 250
57,NISSAN,JUKE
59,CHEVROLET,CRUZE LT
60,FORD,FUSION
61,TOYOTA,VOXY
63,MERCEDES-BENZ,A 160
64,HYUNDAI,TUCSON
69,TOYOTA,VITZ
71,CHEVROLET,CAPTIVA
75,FORD,MUSTANG
76,MERCEDES-BENZ,ML 350
81,TOYOTA,YARIS
83,HONDA,CR-V
88,CHEVROLET,CRUZE
89,CHEVROLET,ORLANDO
90,MERCEDES-BENZ,GL 63 AMG
91,BMW,520 VANOS
93,DAEWOO,LACETTI
95,BMW,428 SPORT LINE
96,NISSAN,PATROL
98,MERCEDES-BENZ,E 320
99,HYUNDAI,GENESIS
103,LEXUS,GX 460
104,MERCEDES-BENZ,SPRINTER
106,FORD,FOCUS SE
109,KIA,PICANTO
110,BMW,328
111,FORD,EXPLORER
114,MITSUBISHI,AIRTREK
115,MERCEDES-BENZ,E 500 AMG
116,MITSUBISHI,LANCER
118,SSANGYONG,KORANDO
121,RENAULT,CLIO
129,MERCEDES-BENZ,C 220
131,NISSAN,SERENA
133,TOYOTA,RAV 4
136,MITSUBISHI,PAJERO
140,MERCEDES-BENZ,E 300
143,GMC,TERRAIN
144,MERCEDES-BENZ,208
146,HONDA,HR-V EX
147,FIAT,500
149,SUBARU,LEGACY
150,HYUNDAI,ELANTRA SPORT LIMITED
152,TOYOTA,SIENNA
158,MERCEDES-BENZ,A 170
159,LEXUS,NX 300
160,SSANGYONG,REXTON
162,TOYOTA,TACOMA
163,KIA,CARNIVAL GRAND
166,INFINITI,QX60
168,VOLKSWAGEN,PASSAT
169,MERCEDES-BENZ,E 240
171,AUDI,50
173,MERCEDES-BENZ,C 250
175,TOYOTA,VITZ FUNKARGO
177,BMW,325
184,NISSAN,PATHFINDER
185,MITSUBISHI,DELICA
187,VOLKSWAGEN,GOLF
188,MERCEDES-BENZ,VANEO
189,TOYOTA,CAMRY SE
194,NISSAN,PATROL Y60
195,AUDI,A7
197,MERCEDES-BENZ,E 350
202,HYUNDAI,I30
204,NISSAN,ALTIMA
206,ALFA ROMEO,147
207,SUZUKI,GRAND VITARA
208,LEXUS,CT 200H
211,PORSCHE,PANAMERA
212,HYUNDAI,VELOSTER
213,TOYOTA,RAV 4 XLE SPORT
216,TOYOTA,SIENTA
219,MERCEDES-BENZ,CLS 550
223,CHEVROLET,AVALANCHE
225,TOYOTA,AVALON LIMITED
226,KIA,CERATO K3
229,LEXUS,GX 470
233,OPEL,ASTRA G
234,TOYOTA,IST
240,TOYOTA,COROLLA
244,NISSAN,ROGUE
245,MAZDA,MPV
248,BMW,530
249,LEXUS,GS 350
255,VOLKSWAGEN,SHARAN
265,NISSAN,TIIDA
270,MERCEDES-BENZ,C 300
271,SSANGYONG,ACTYON
279,NISSAN,ELGRAND
282,MERCEDES-BENZ,CLS 500
289,MERCEDES-BENZ,S 350
293,TOYOTA,RAV 4 LE
294,OPEL,ZAFIRA
296,OPEL,VECTRA B
298,MERCEDES-BENZ,C 200
299,TOYOTA,CHR
301,MAZDA,323
305,MERCEDES-BENZ,E 350 ᲐᲛᲒ
310,MERCEDES-BENZ,CLK 320
312,SUBARU,FORESTER
313,TOYOTA,AVALON
314,MERCEDES-BENZ,ML 250
317,MITSUBISHI,COLT LANCER
324,BMW,318
326,MITSUBISHI,OUTLANDER
330,MERCEDES-BENZ,E 200
332,MERCEDES-BENZ,GLE 350
335,CHEVROLET,MALIBU
353,HONDA,INSIGHT
356,HONDA,STREAM
380,MITSUBISHI,I
389,VOLKSWAGEN,GTI
390,MITSUBISHI,COLT
394,MITSUBISHI,PAJERO MINI
395,FORD,C-MAX
397,BMW,750
398,TOYOTA,RAV 4 S P O R T
399,LEXUS,RX 400
400,MERCEDES-BENZ,E 250
422,SUBARU,OUTBACK
424,MERCEDES-BENZ,GLC 300
428,LINCOLN,NAVIGATOR
435,FORD,FUSION TITANIUM
439,SUZUKI,JIMNY
442,CHEVROLET,AVEO
443,BMW,X6
447,TOYOTA,AQUA S
448,VAZ,1111
455,LEXUS,NX 200
456,OPEL,ASTRA
457,GAZ,32214
458,RENAULT,LAGUNA
466,HONDA,SHUTTLE
469,MERCEDES-BENZ,C 240
491,BMW,328 XDRIVE
495,FORD,TAURUS
504,RENAULT,TWINGO
506,BMW,535 M PAKET
511,MERCEDES-BENZ,S 500 LONG
519,BMW,520
521,BMW,525
533,AUDI,A4 PREMIUM
534,FORD,GALAXY
537,SUZUKI,KIZASHI
544,VOLKSWAGEN,GOLF 4
552,HONDA,ELEMENT
553,CITROEN,C1
554,NISSAN,X-TRAIL
556,KIA,RIO
559,LAND ROVER,DISCOVERY
564,VOLKSWAGEN,VENTO
565,MERCEDES-BENZ,C 200 2.0
579,MERCEDES-BENZ,ML 550 4.7
583,TOYOTA,COROLLA IM
585,MERCEDES-BENZ,CLK 240
587,FORD,FIESTA
591,MINI,COOPER
592,OPEL,COMBO
596,DODGE,CHALLENGER
603,LEXUS,RX 300
606,AUDI,A4
609,KIA,OPTIMA
616,BMW,320
630,LEXUS,RX 400 HYBRID
631,TOYOTA,COROLLA VERSO
634,MITSUBISHI,PAJERO IO
637,BMW,528 I
645,HONDA,ODYSSEY
646,MITSUBISHI,L 200
653,HONDA,INSIGHT EX
656,FORD,FIESTA 1.6
658,FORD,FOCUS
662,NISSAN,TEANA
664,CHEVROLET,MATIZ
672,MAZDA,MAZDA 3
674,OPEL,CORSA
677,RENAULT,SCENIC
683,CHEVROLET,SPARK
686,NISSAN,MARCH
687,JEEP,WRANGLER
692,LEXUS,HS 250H HYBRID
700,DODGE,JOURNEY
703,HYUNDAI,SONATA SPORT
704,HYUNDAI,ELANTRA SE
708,NISSAN,ROGUE SPORT
710,TOYOTA,AURIS
712,MERCEDES-BENZ,E 270
716,TOYOTA,FJ CRUISER
721,LEXUS,ES 350
722,CHEVROLET,VOLT
723,BMW,M3
738,KIA,SOUL
751,FIAT,500C LOUNGE
754,MITSUBISHI,MONTERO
760,CHEVROLET,CRUZE LTZ
765,TOYOTA,IPSUM
767,MINI,COUNTRYMAN
768,TOYOTA,COROLLA 04
775,MERCEDES-BENZ,SLK 230
777,NISSAN,ROGUE SL
789,AUDI,A6
791,AUDI,Q3
793,HYUNDAI,ACCENT
795,NISSAN,FRONTIER
798,HYUNDAI,GRANDEUR
799,SUBARU,STELLA
817,HONDA,HR-V
820,TOYOTA,PRIUS 2014
821,DODGE,DART LIMITED
828,MAZDA,CX-9
831,CHRYSLER,200
833,HONDA,ACCORD
843,JAGUAR,XF
855,LEXUS,IS 200
861,BMW,330
868,LAND ROVER,FREELANDER
883,JEEP,COMPASS
891,FORD,TRANSIT CONNECT
892,SUBARU,XV
899,TOYOTA,AQUA G SOFT LEATHER SELE
901,OPEL,MERIVA
912,TOYOTA,PRIUS V
917,KIA,SORENTO
922,BMW,114
933,BMW,535
935,TOYOTA,PASSO
939,LEXUS,ES 300
942,KIA,SPORTAGE
944,BMW,320 DIESEL
949,BMW,318 ᲡᲐᲡᲬᲠᲐᲤᲝᲓ
950,ISUZU,RODEO
957,AUDI,A5
965,NISSAN,VERSA
967,HONDA,FIT SPORT
980,KIA,CARNIVAL
981,HONDA,STEP WAGON PADA
982,TOYOTA,TUNDRA
991,DODGE,DART GT 2.4
1010,ACURA,TLX
1022,MERCEDES-BENZ,E 230
1030,AUDI,A3 PREMIUM
1033,FORD,TOURNEO CONNECT
1043,HYUNDAI,KONA
1044,LEXUS,IS 250
1064,MERCEDES-BENZ,CLK 320 AMG
1070,BMW,730 3.0
1073,TOYOTA,ISIS
1083,MERCEDES-BENZ,S 550
1086,DODGE,RAM
1103,NISSAN,X-TERRA
1107,MERCEDES-BENZ,SPRINTER 411
1110,OPEL,SINTRA
1116,MERCEDES-BENZ,E 500
1122,BMW,X5 M
1125,CHEVROLET,CAMARO
1128,MERCEDES-BENZ,S 550 ᲰᲘᲑᲠᲘᲓᲘ
1129,MERCEDES-BENZ,CLS 350
1130,FORD,TRANSIT 350T
1134,BMW,435
1151,MITSUBISHI,OUTLANDER 2.0
1153,VOLKSWAGEN,POLO
1166,PORSCHE,911
1192,MERCEDES-BENZ,CLA 250
1197,TOYOTA,IST 1.5
1202,VAZ,2107
1204,NISSAN,NOTE
1217,TOYOTA,HARRIER
1222,KIA,CEED
1223,BMW,X6 M
1230,SSANGYONG,KYRON
1234,SKODA,OCTAVIA
1241,TOYOTA,SEQUOIA
1245,MAZDA,MAZDA 3 SPORT
1254,LAND ROVER,RANGE ROVER
1264,HYUNDAI,IX35
1268,NISSAN,TIIDA 2008
1285,MITSUBISHI,MINICA
1295,NISSAN,SENTRA
1300,MERCEDES-BENZ,GL 550
1314,GMC,YUKON
1346,BMW,325 CI
1352,BMW,335
1357,MERCEDES-BENZ,SMART
1360,MERCEDES-BENZ,A 190
1367,VOLKSWAGEN,JETTA ᲡᲞᲝᲠᲢ
1369,TOYOTA,COROLLA LE
1371,BMW,428
1389,FORD,TRANSIT CONNECT ᲑᲔᲜᲖᲘᲜᲘ
1411,HYUNDAI,ELANTRA LIMITED
1412,MERCEDES-BENZ,SPRINTER MAX
1416,TOYOTA,CAMRY S
1448,BMW,X5 3.5
1449,TOYOTA,IPSUM S
1452,MINI,COOPER S CABRIO R56
1463,MAZDA,MX-5
1466,VOLKSWAGEN,CRAFTER
1468,TOYOTA,PRIUS PLUGIN
1470,DAIHATSU,TERIOS
1476,KIA,CADENZA
1482,HYUNDAI,SONATA 2.0T
1487,LAND ROVER,DEFENDER 90 CABRIO
1506,MERCEDES-BENZ,E 280
1521,HYUNDAI,SONATA S
1524,MERCEDES-BENZ,GL 450
1525,MERCEDES-BENZ,B 170
1526,KIA,CERATO
1531,FORD,EDGE
1538,CHRYSLER,PT CRUISER
1540,OPEL,ASTRA 1600
1549,HYUNDAI,SONATA BLUE EDITION
1552,MERCEDES-BENZ,CLS 55 AMG
1571,BMW,320 M
1580,MERCEDES-BENZ,SPRINTER VAN
1588,MERCEDES-BENZ,CLK 430
1592,LEXUS,IS 350
1600,HONDA,CIVIC EX
1604,NISSAN,FUGA
1613,LINCOLN,MKZ
1614,BMW,528
1628,CHEVROLET,CRUZE STROCNA
1631,MINI,COUNTRYMAN S
1635,NISSAN,TIIDA AXIS
1644,MERCEDES-BENZ,CLK 200
1652,SUZUKI,SWIFT
1666,CHEVROLET,VOLT PREMIER
1671,MAZDA,1000
1675,MERCEDES-BENZ,VIANO
1676,LEXUS,HS 250H
1678,LEXUS,CT 200H F-SPORT
1681,FORD,MONDEO
1683,BMW,316 I
1684,BUICK,CENTURY
1689,JEEP,CHEROKEE
1710,OPEL,OMEGA 1
1711,MERCEDES-BENZ,E 550
1719,SUBARU,LEGACY B4 TWIN TURBO
1734,DODGE,AVENGER
1735,BMW,740
1741,AUDI,A8
1743,FORD,ESCORT
1744,MAZDA,ATENZA
1749,VOLKSWAGEN,TIGUAN
1761,OPEL,ASTRA BERTONE
1779,HONDA,FIT HBRID
1786,TOYOTA,VERSO
1794,VOLKSWAGEN,GOLF 6
1806,MERCEDES-BENZ,230
1814,NISSAN,BLUEBIRD
1820,TOYOTA,LAND CRUISER PRADO
1836,BMW,120
1842,MERCEDES-BENZ,CLK 230 .
1843,SUZUKI,LIANA
1850,MERCEDES-BENZ,C 280
1854,TOYOTA,ALPHARD
1864,HONDA,PASSPORT
1865,MITSUBISHI,COLTPLUS
1883,AUDI,A4 S LINE
1884,TOYOTA,CAMRY XLE
1885,HYUNDAI,SONATA HYBRID
1897,JEEP,LIBERTY
1917,HONDA,FIT ARIA
1940,MITSUBISHI,GRANDIS
1953,MERCEDES-BENZ,E 430
1958,HONDA,FIT S
1959,HONDA,INSPIRE
1961,LINCOLN,TOWN CAR
1974,TOYOTA,VENZA
1978,MITSUBISHI,RVR
1985,CHRYSLER,TOWN AND COUNTRY
1996,CHEVROLET,IMPALA
2003,SUBARU,XV LIMITED
2009,MAZDA,PREMACY
2010,TESLA,MODEL X
2024,MERCEDES-BENZ,R 350
2028,BMW,135
2049,TOYOTA,COROLLA S
2057,CHEVROLET,TRAVERSE
2061,MAZDA,DEMIO
2064,VOLKSWAGEN,JETTA GLI
2071,MERCEDES-BENZ,ML 350 4 MATIC
2074,MERCEDES-BENZ,CLK 55 AMG
2081,MAZDA,CX-5
2103,MERCEDES-BENZ,A 140
2119,DAIHATSU,YRV
2130,CADILLAC,ALLANTE
2136,MERCEDES-BENZ,C 230
2139,OPEL,COMBO 2001
2143,MERCEDES-BENZ,S 500
2151,BMW,540 I
2153,FORD,FUSION PHEV
2166,FIAT,500 ABARTH
2170,BMW,650
2187,PEUGEOT,206
2190,AUDI,A4 PREMIUM PLIUS
2198,MAZDA,MAZDA 6
2203,HONDA,FRED
2206,TOYOTA,ALTEZZA
2212,MITSUBISHI,MIRAGE
2215,MERCEDES-BENZ,C 320 CDI
2218,VAZ,2106
2226,LEXUS,LS 460
2227,BMW,550
2273,FORD,ESCAPE TITANIUM
2298,VOLVO,C30 2010
2304,NISSAN,MICRA
2316,BMW,X5 XDRIVE
2321,BMW,535 I
2323,TOYOTA,ESTIMA
2330,MERCEDES-BENZ,C 200 7G-TRONIC
2358,სხვა,IVECO DAYLY
2360,MERCEDES-BENZ,ML 280 ᲡᲐᲡᲬᲠᲐᲤᲝᲓ
2365,BMW,640 GRAN-COUPE
2371,TOYOTA,CAMRY SPORT
2386,SUBARU,IMPREZA
2389,TOYOTA,HILUX
2418,GMC,ACADIA
2419,CHEVROLET,CRUZE PREMIER
2428,VOLKSWAGEN,UP
2439,MITSUBISHI,OUTLANDER SPORT
2443,FIAT,500L LONG
2455,FORD,RANGER
2471,JAGUAR,XJ
2473,SUZUKI,XL7
2485,VOLKSWAGEN,PASSAT SEL
2486,HONDA,FIT HIBRID
2496,HAVAL,H6
2497,VOLKSWAGEN,CC R LINE
2505,MAZDA,MAZDA 6 TOURING
2535,MERCEDES-BENZ,CLA 45 AMG
2539,DODGE,DURANGO
2541,DODGE,CALIBER
2545,NISSAN,MURANO
2548,FORD,TRANSIT CL
2559,BMW,523
2566,BMW,320 I
2586,FORD,ESCAPE 3.0
2591,DODGE,RAMCHARGER
2592,MERCEDES-BENZ,C 36 AMG
2598,FORD,TRANSIT FFF
2610,DAEWOO,GENTRA
2634,BMW,316
2637,FIAT,CINQUECENTO
2644,HONDA,PILOT
2648,BMW,5.30E+62
2703,VOLKSWAGEN,CC 2.0 T
2705,SUBARU,BRZ
2706,SUZUKI,SX4
2711,VOLKSWAGEN,TOUAREG
2713,CHEVROLET,1500
2723,MERCEDES-BENZ,GLE 63 AMG
2732,JEEP,GRAND CHEROKEE SAIUBILEO
2737,MERCEDES-BENZ,SMART FORTWO
2741,NISSAN,SKYLINE
2758,FIAT,500 SPORT
2759,VOLKSWAGEN,GOLF TDI
2767,MAZDA,DEMIO EVROPULI
2780,BMW,X3
2789,CHEVROLET,EQUINOX LT
2817,MITSUBISHI,OUTLANDER SE
2818,MERCEDES-BENZ,E 270 AVANGARDI
2823,NISSAN,WINGROAD
2824,VOLKSWAGEN,PASSAT R-LINE
2826,BMW,X5 E53
2832,MAZDA,EUNOS 500
2836,CHRYSLER,PACIFICA
2837,FIAT,DOBLO
2849,AUDI,ALLROAD
2857,MERCEDES-BENZ,E 350 212
2859,PORSCHE,PANAMERA S
2874,SUBARU,FORESTER SH
2898,VOLKSWAGEN,CADDY
2919,FORD,TRANSIT S
2927,FORD,C-MAX HYBRID
2932,BMW,435 CUPE
2939,MERCEDES-BENZ,ML 500
2941,MERCEDES-BENZ,G 55 AMG
2949,MERCEDES-BENZ,ML 270
2952,LEXUS,LX 470
2955,MERCEDES-BENZ,CLK 200 KOMPRESSOR
2960,HONDA,ELYSION
2977,FORD,TRANSIT 135
2989,SUZUKI,SAMURAI
2991,BMW,M5 JAPAN
3008,TOYOTA,CALDINA
3020,PEUGEOT,607
3029,OPEL,ASTRA H
3036,RENAULT,MEGANE GT LINE
3054,MERCEDES-BENZ,CLS 350 AMG
3063,AUDI,Q5 S-LINE
3069,BMW,X1
3071,MERCEDES-BENZ,CLK 270
3082,DAIHATSU,SIRION
3090,HYUNDAI,ELANTRA GT
3104,CHEVROLET,CRUZE RS
3111,GAZ,20
3115,LINCOLN,MKZ HYBRID
3123,BMW,130
3146,TOYOTA,HILUX SURF
3153,ISUZU,VEHICROSS
3158,VOLKSWAGEN,CC
3162,TOYOTA,PRIUS C NAVIGATION
3172,MERCEDES-BENZ,E 350 W211
3222,FORD,EXPEDITION
3236,MERCEDES-BENZ,ML 320
3255,LAND ROVER,RANGE ROVER EVOQUE
3268,TOYOTA,PRIUS V ALPINA
3275,MERCEDES-BENZ,SPRINTER 315CDI
3287,FORD,TAURUS INTERCEPTOR
3292,KIA,RIO LX
3296,BMW,X5 XDRIVE 35D
3298,VOLKSWAGEN,JETTA SEL
3317,MERCEDES-BENZ,G 300
3321,LEXUS,RX 450 H
3328,OPEL,AGILA
3330,TOYOTA,HIGHLANDER SPORT
3333,KIA,AVELLA
3356,FORD,FOCUS TITANIUM
3396,KIA,FORTE
3402,HONDA,ACCORD CL9 TYPE S
3405,FIAT,500 TURBO
3418,ACURA,TSX
3422,TOYOTA,AQUA L PAKETI
3423,HYUNDAI,SANTA FE ULTIMATE
3432,MERCEDES-BENZ,SPRINTER 311
3471,BMW,320 GRAN TURISMO
3472,MERCEDES-BENZ,E 280 CDI
3506,MERCEDES-BENZ,311
3520,MERCEDES-BENZ,VITO 2
3575,BMW,535 TWINTURBO
3579,MERCEDES-BENZ,416
3591,TOYOTA,AVENSIS
3592,HYUNDAI,SONATA HIBRID
3599,TOYOTA,PRIUS S
3606,INFINITI,QX80
3608,TOYOTA,WILL VS
3611,TOYOTA,PRIUS BLUG-IN
3629,AUDI,Q7
3631,NISSAN,PRESAGE RIDER
3638,TOYOTA,YARIS IA
3639,MERCEDES-BENZ,E 300 AVANTGARDE-LTD
3677,CADILLAC,ESCALADE
3684,HUMMER,H2
3686,BMW,550 GT
3698,MERCEDES-BENZ,290
3722,BMW,X5 X-DRIVE
3724,HYUNDAI,GETZ
3737,FIAT,500C
3739,MAZDA,616
3751,MERCEDES-BENZ,R 320
3757,LAND ROVER,LAND ROVER SPORT
3809,ACURA,MDX
3839,BMW,128 M TECH
3854,BUICK,ENCORE
3858,RENAULT,MEGANE
3865,HONDA,FIT HYBRYD
3880,MERCEDES-BENZ,CL 550
3885,BMW,X3 3.5I
3894,MERCEDES-BENZ,E 350 AMG
3925,MERCEDES-BENZ,C 220 CDI
3948,BMW,550 F10
3984,FORD,FOCUS ST
4000,TOYOTA,CAMRY SPORTI
4004,INFINITI,G20
4005,CHEVROLET,SONIC
4010,BMW,545
4022,VAZ,2121 (NIVA)
4032,INFINITI,FX35
4069,BMW,"X5 4,4I"
4085,BMW,320 2
4087,RENAULT,MEGANE 19
4094,MERCEDES-BENZ,S 320
4095,CHEVROLET,CRUZE LS
4097,TOYOTA,CAMRY HYBRID
4100,MERCEDES-BENZ,E 350 4 MATIC AMG PACKAG
4101,BMW,645 CI
4128,CADILLAC,CTS
4164,TOYOTA,CAMRY LE
4181,TOYOTA,FORTUNER
4190,LEXUS,CT 200H F SPORT
4201,FORD,MAVERICK
4224,BMW,225
4231,FORD,S-MAX
4232,BMW,525 I
4240,JAGUAR,F-TYPE
4245,MERCEDES-BENZ,GL 320 BLUETEC
4249,AUDI,100
4250,NISSAN,QUEST 2016
4282,LEXUS,RC F
4311,BMW,320 2.0
4312,BMW,328 DIZEL
4339,SUBARU,IMPREZA G4
4370,VOLKSWAGEN,PASSAT SE
4386,SCION,IA ISTI
4389,HYUNDAI,ELANTRA GLS / LIMITED
4399,KIA,OPTIMA X
4411,GAZ,3796
4436,MERCEDES-BENZ,C 320
4438,VOLKSWAGEN,TOURAN
4449,OPEL,OMEGA B
4469,OPEL,VECTRA C
4474,MERCEDES-BENZ,E 220 CDI
4497,MERCEDES-BENZ,GL 350
4533,MAZDA,DEMIO 12
4534,HYUNDAI,TUCSON TURBO
4537,BMW,535 COMFORT-SPORT
4538,FIAT,500 46 ML
4544,TOYOTA,WISH
4564,TOYOTA,VITZ RS
4571,FIAT,500 LOUNGE
4579,VOLVO,XC90
4602,HYUNDAI,IONIQ
4608,KIA,OPTIMA HYBRID
4621,MERCEDES-BENZ,G 320
4624,SUBARU,CROSSTREK
4629,MERCEDES-BENZ,CLS 63 AMG
4634,MERCEDES-BENZ,R 350 BLUETEC
4651,CHEVROLET,CRUZE SONIC
4652,CHEVROLET,NUBIRA
4669,ACURA,TL
4672,MAZDA,AXELA
4675,BMW,X5 3.0
4683,VOLKSWAGEN,SCIROCCO
4716,BMW,745 I
4719,AUDI,A3
4733,CADILLAC,SRX
4745,JEEP,RENEGADE
4786,DODGE,CARAVAN
4792,სხვა,GONOW
4800,MERCEDES-BENZ,S 350 LONGIA
4802,TOYOTA,FUN CARGO
4807,CHEVROLET,CRUZE L T
4819,FORD,C-MAX SEL
4823,UAZ,31514
4847,SUZUKI,VITARA
4853,TOYOTA,AQUA G KLAS
4866,BMW,735
4885,FORD,FUSION SE
4891,VOLKSWAGEN,NEW BEETLE
4895,BMW,116
4950,BMW,328 SULEV
4951,KIA,SORENTO SX
4959,BMW,M5
4970,TOYOTA,4RUNNER
4983,RENAULT,KANGOO
4988,SUZUKI,AERIO SX
5037,MERCEDES-BENZ,C 230 2.5
5043,TOYOTA,HIGHLANDER 2.4 LIT
5058,OPEL,OMEGA
5073,SUZUKI,CERVO
5075,MERCEDES-BENZ,SPRINTER MAXI-Ს MAX
5079,HYUNDAI,SONATA LPG
5101,SUZUKI,KIZASHI SPORTI
5136,MITSUBISHI,MONTERO SPORT
5139,BMW,X1 28XDRIVE
5140,CHEVROLET,MALIBU LT
5141,BMW,X5 RESTILLING
5147,FORD,FOCUS FOKUSI
5155,SKODA,FABIA
5162,LEXUS,IS 250 ᲠᲔᲡᲢᲐᲘᲚᲘᲜᲒᲘ
5170,BMW,335 335I
5178,LEXUS,RX 400 RESTAILING
5181,SCION,TC
5188,DODGE,INTREPID
5193,INFINITI,EX37
5208,TOYOTA,PRIUS ᲤᲚᲐᲒᲘᲜᲘ
5222,ZAZ,969 968M
5231,MAZDA,CX-5 TOURING
5239,HONDA,EDIX
5241,MERCEDES-BENZ,ML 350 BLUETEC
5265,BMW,750 4.8
5272,HYUNDAI,VELOSTER R-SPEC
5283,HYUNDAI,AZERA
5290,VAZ,2107 07
5300,FORD,TRANSIT CUSTOM
5309,ACURA,RDX
5312,VOLVO,960
5313,HONDA,ELYSION 3.0
5329,OPEL,ZAFIRA B
5340,TOYOTA,PRIUS 1.5I
5377,MERCEDES-BENZ,ML 270 CDI
5384,HONDA,CIVIC FERIO
5395,VOLKSWAGEN,JETTA TDI
5412,MERCEDES-BENZ,S 63 AMG
5457,KIA,OPTIMA ECO
5488,UAZ,PATRIOT
5533,MERCEDES-BENZ,C 200 KOMPRESSOR
5534,BMW,X5 REST
5545,SUZUKI,ESCUDO
5587,MAZDA,VERISA
5589,NISSAN,KICKS
5613,CADILLAC,ATS
5622,TOYOTA,MARK X
5623,SUZUKI,VITARA GL+
5666,BMW,X1 X-DRIVE
5712,FORD,FOCUS FLEXFUEL
5742,TOYOTA,AQUA G
5747,SUZUKI,SWIFT SPORT
5767,SEAT,LEON
5771,MERCEDES-BENZ,300
5772,RENAULT,DUSTER
5790,AUDI,Q7 SPORT
5809,FORD,TRANSIT CONNECT PRASTOI
5812,MAZDA,VERISA 2007
5813,TOYOTA,CAMRY SPORT SE
5816,MERCEDES-BENZ,ML 280
5853,TOYOTA,HIGHLANDER LIMITED
5876,JEEP,GRAND CHEROKEE LAREDO
5889,MERCEDES-BENZ,E 270 CDI
5925,BMW,X5 3.0I
5928,TOYOTA,COROLLA SPACIO
5931,TOYOTA,CAMRY XV50
5940,MERCEDES-BENZ,G 350
5959,BMW,3.25E+48
5978,PORSCHE,911 MEQANIKA
5986,BMW,645
5995,MERCEDES-BENZ,GL 320
6002,LEXUS,LX 570
6005,GAZ,24
6009,FORD,TRANSIT T330
6010,TOYOTA,PRIUS ᲰᲘᲑᲠᲘᲓᲘ
6016,FORD,ESCAPE SE
6020,BMW,3.20E+38
6058,OPEL,COMBO TDI
6060,MERCEDES-BENZ,E 50
6100,TOYOTA,AQUA HIBRID
6106,TOYOTA,CELICA
6150,MERCEDES-BENZ,ML 350 3.7
6162,FORD,ESCAPE ᲛᲔᲠᲙᲣᲠᲘ ᲛᲔᲠᲘᲜᲔᲠᲘ
6164,PORSCHE,MACAN
6182,KIA,NIRO
6191,NISSAN,X-TRAIL GT
